Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,ENGL,150, ,003,"INTRO LIT GENRE","Araujo, Anderson",35,73.57,11.45,86,35,34,1,0,0,0,0,0,0,1,0,1,2,0,2,4,3,3,6,11,3,0
UBCO,2016,W,ENGL,150, ,004,"INTRO LIT GENRE","Lovesey, Oliver",35,65.44,21.08,92,0,29,5,1,0,0,2,0,0,1,2,5,2,2,1,4,3,5,6,1,2,3
UBCO,2016,W,ENGL,150, ,005,"INTRO LIT GENRE","Milton, Paul",35,70.57,8.47,84,47,34,1,0,0,0,0,0,0,0,1,1,1,0,3,8,7,5,4,6,0,0
UBCO,2016,W,ENGL,150, ,006,"INTRO LIT GENRE","Milton, Paul",34,71.65,13.92,84,0,33,1,0,0,0,1,0,0,0,0,1,0,0,1,6,3,11,4,8,0,0
UBCO,2016,W,ENGL,150, ,007,"INTRO LIT GENRE","Araujo, Anderson",35,72.14,16.85,86,9,33,2,0,0,0,1,0,1,0,0,2,1,1,1,5,2,5,1,13,4,0
UBCO,2016,W,ENGL,150, ,102,"INTRO LIT GENRE","Milton, Paul",35,63.06,17.74,85,0,30,5,0,0,0,2,0,0,0,3,5,1,1,8,3,5,6,4,0,2,0
UBCO,2016,W,ENGL,150, ,104,"INTRO LIT GENRE","Milton, Paul",38,69.87,9.36,88,43,37,1,0,0,0,0,0,0,0,1,1,1,2,2,7,11,4,4,3,3,0
UBCO,2016,W,ENGL,150, ,105,"INTRO LIT GENRE","Harrison, Shona",35,67.53,20.65,86,0,31,3,1,0,0,2,0,1,0,0,3,1,2,0,4,2,7,7,7,1,0
UBCO,2016,W,ENGL,150, ,OVERALL,"INTRO LIT GENRE"," ",352,69.74,15.14,92,0,329,21,2,0,0,9,0,2,2,8,21,10,11,21,48,49,56,53,58,18,5
UBCO,2016,W,ENGL,151, ,001,"CRIT STDIES LIT","McDonald, Shirley",35,73.06,14.21,87,14,32,2,1,0,0,0,1,0,1,0,2,0,0,1,2,2,8,9,8,2,0
UBCO,2016,W,ENGL,151, ,002,"CRIT STDIES LIT","Keyes, Daniel",32,61.06,17.13,87,13,26,5,1,0,0,0,1,2,0,2,5,2,2,7,4,2,4,2,1,2,0
UBCO,2016,W,ENGL,151, ,102,"CRIT STDIES LIT","Reeves, Margaret",34,75.31,8.82,89,51,32,0,1,0,1,0,0,0,0,0,0,1,1,0,2,5,6,7,5,5,0
UBCO,2016,W,ENGL,151, ,104,"CRIT STDIES LIT","Jefferess, David",35,68.97,17.83,94,0,32,2,1,0,0,1,0,1,0,0,2,2,1,2,4,7,8,0,4,0,4
UBCO,2016,W,ENGL,151, ,105,"CRIT STDIES LIT","McDonald, Shirley",34,65.19,22.17,92,3,28,4,2,0,0,2,1,0,1,0,4,2,4,1,3,3,2,1,9,1,2
UBCO,2016,W,ENGL,151, ,106,"CRIT STDIES LIT","Treschow, Michael",35,75.26,13.02,86,6,34,1,0,0,0,1,0,0,0,0,1,0,0,0,1,5,4,13,8,3,0
UBCO,2016,W,ENGL,151, ,OVERALL,"CRIT STDIES LIT"," ",205,69.96,16.68,94,0,184,14,6,0,1,4,3,3,2,2,14,7,8,11,16,24,32,32,35,13,6
UBCO,2016,W,ENGL,153, ,001,"RDGS IN NARRATIV","Jacques, Melissa",33,71.48,19.11,87,0,30,3,0,0,0,1,1,0,1,0,3,0,1,0,2,3,2,12,7,3,0
UBCO,2016,W,ENGL,153, ,002,"RDGS IN NARRATIV","Jacques, Melissa",35,80.43,5.15,90,71,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11,7,10,1
UBCO,2016,W,ENGL,153, ,003,"RDGS IN NARRATIV","Grekul, Lisa",156,66.17,13.37,90,0,139,14,3,0,0,1,1,0,2,10,14,8,15,12,30,20,21,10,15,7,1
UBCO,2016,W,ENGL,153, ,004,"RDGS IN NARRATIV","Grinnell, George",154,67.95,11.75,92,15,144,7,3,0,0,0,1,2,0,4,7,9,12,16,27,14,28,14,16,7,1
UBCO,2016,W,ENGL,153, ,101,"RDGS IN NARRATIV","Grinnell, George",157,65.06,17.62,90,0,140,15,2,0,0,5,1,4,0,5,15,10,12,21,19,19,19,11,22,6,1
UBCO,2016,W,ENGL,153, ,102,"RDGS IN NARRATIV","Grekul, Lisa",159,67.22,16.62,92,0,139,17,3,0,0,2,2,2,4,7,17,8,4,16,16,22,22,16,22,8,5
UBCO,2016,W,ENGL,153, ,OVERALL,"RDGS IN NARRATIV"," ",705,67.54,15.25,92,0,627,56,22,0,0,9,6,8,7,26,56,35,44,65,94,80,96,74,89,41,9
UBCO,2016,W,ENGL,212, ,001,"STUD CHILD'S LIT","Reeves, Margaret",47,73.87,13.08,92,27,45,2,0,0,0,0,0,1,1,0,2,2,1,2,2,4,11,6,7,8,2
UBCO,2016,W,ENGL,212, ,OVERALL,"STUD CHILD'S LIT"," ",47,73.87,13.08,92,27,45,2,0,0,0,0,0,1,1,0,2,2,1,2,2,4,11,6,7,8,2
UBCO,2016,W,ENGL,220, ,001,"FNDN LIT HST CXT","Lawrence, Sean Kevin",41,67.85,15.67,89,28,35,5,1,0,0,0,0,1,3,1,5,3,1,0,4,6,9,4,3,5,0
UBCO,2016,W,ENGL,220, ,002,"FNDN LIT HST CXT","Treschow, Michael",43,79.71,10.79,92,33,40,2,1,0,0,0,0,0,1,1,2,0,0,1,0,0,3,12,9,12,3
UBCO,2016,W,ENGL,220, ,OVERALL,"FNDN LIT HST CXT"," ",84,73.93,14.59,92,28,75,7,2,0,0,0,0,1,4,2,7,3,1,1,4,6,12,16,12,17,3
UBCO,2016,W,ENGL,221, ,101,"FNDN LIT HST CT2","Gustar, Jennifer",43,74.31,19.23,95,20,38,4,0,0,1,0,0,2,2,0,4,2,1,1,3,1,4,3,9,5,9
UBCO,2016,W,ENGL,221, ,102,"FNDN LIT HST CT2","Gustar, Jennifer",40,71.28,16.82,90,0,34,2,3,0,1,1,0,0,0,1,2,1,0,6,5,1,3,5,5,6,2
UBCO,2016,W,ENGL,221, ,OVERALL,"FNDN LIT HST CT2"," ",83,72.91,18.11,95,0,72,6,3,0,2,1,0,2,2,1,6,3,1,7,8,2,7,8,14,11,11
