Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,COSC,322, ,001,"INTRO TO AI","Gao, Yong",43,76.17,9,97,58,41,0,2,0,0,0,0,0,0,0,0,0,1,1,4,11,5,2,9,5,3
UBCO,2016,W,COSC,322, ,OVERALL,"INTRO TO AI"," ",45,76.17,9,97,58,41,0,4,0,0,0,0,0,0,0,0,0,1,1,4,11,5,2,9,5,3
UBCO,2016,W,COSC,335, ,001,"INTRO MED IMAG","Bjarnason, Thor;Rajapakshe, Rasika",6,77.17,14.19,93,56,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,1
UBCO,2016,W,COSC,335, ,OVERALL,"INTRO MED IMAG"," ",6,77.17,14.19,93,56,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,1
UBCO,2016,W,COSC,341, ,001,"HUMAN COMP INTER","Hui, Bowen;Smith, Jocelyn",72,79.93,7.88,95,58,71,0,1,0,0,0,0,0,0,0,0,0,1,0,4,4,14,10,14,16,8
UBCO,2016,W,COSC,341, ,OVERALL,"HUMAN COMP INTER"," ",73,79.93,7.88,95,58,71,0,2,0,0,0,0,0,0,0,0,0,1,0,4,4,14,10,14,16,8
UBCO,2016,W,COSC,360, ,001,"WEB PRGMING","Fazackerley, Scott",67,73.05,16.15,95,21,59,4,0,0,4,0,0,2,0,2,4,4,3,5,2,6,9,3,11,6,10
UBCO,2016,W,COSC,360, ,OVERALL,"WEB PRGMING"," ",67,73.05,16.15,95,21,59,4,0,0,4,0,0,2,0,2,4,4,3,5,2,6,9,3,11,6,10
UBCO,2016,W,COSC,419,C,001,"TOPICS COMP SCI","Hui, Bowen",28,81.39,18.12,100,44,26,2,0,0,0,0,0,0,0,2,2,2,0,0,3,2,1,1,4,1,12
UBCO,2016,W,COSC,419, ,OVERALL,"TOPICS COMP SCI"," ",76,86.29,12.5,100,44,73,2,1,0,0,0,0,0,0,2,2,2,0,0,3,2,2,1,17,14,32
UBCO,2016,W,COSC,419, ,OVERALL,"TOPICS COMP SCI"," ",76,86.29,12.5,100,44,73,2,1,0,0,0,0,0,0,2,2,2,0,0,3,2,2,1,17,14,32
UBCO,2016,W,COSC,419,I,001,"TOPICS COMP SCI","Cooper, Kendra",48,89.21,5.96,100,75,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,13,20
UBCO,2016,W,COSC,419, ,OVERALL,"TOPICS COMP SCI"," ",76,86.29,12.5,100,44,73,2,1,0,0,0,0,0,0,2,2,2,0,0,3,2,2,1,17,14,32
UBCO,2016,W,COSC,419, ,OVERALL,"TOPICS COMP SCI"," ",76,86.29,12.5,100,44,73,2,1,0,0,0,0,0,0,2,2,2,0,0,3,2,2,1,17,14,32
UBCO,2016,W,COSC,445, ,001,"COMPUTER VISION","Mohamed, Abdallah",27,77.46,10.87,92,45,25,1,0,0,1,0,0,0,0,1,1,0,1,2,0,0,3,6,8,3,2
UBCO,2016,W,COSC,445, ,OVERALL,"COMPUTER VISION"," ",27,77.46,10.87,92,45,25,1,0,0,1,0,0,0,0,1,1,0,1,2,0,0,3,6,8,3,2
UBCO,2016,W,COSC,448, ,OVERALL,"DIR STDY COMP SC"," ",9,82.33,10.46,95,60,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,2
UBCO,2016,W,COSC,448, ,OVERALL,"DIR STDY COMP SC"," ",9,82.33,10.46,95,60,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,2
UBCO,2016,W,COSC,499, ,001,"CAP SOFT ENGR PR","Hui, Bowen",33,84.39,6.62,95,69,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,11,8,8
UBCO,2016,W,COSC,499, ,OVERALL,"CAP SOFT ENGR PR"," ",33,84.39,6.62,95,69,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,11,8,8
UBCO,2016,W,COSC,520, ,001,"ADV ALGORITHMS","Gao, Yong",4,78.33,12.58,90,65,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
UBCO,2016,W,COSC,520, ,OVERALL,"ADV ALGORITHMS"," ",4,78.33,12.58,90,65,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
