Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,EAP ,103, ,001,"ENGL AC PURP III","",19,76.68,5.55,89,66,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,7,4,1,0
UBCO,2016,W,EAP ,103, ,OVERALL,"ENGL AC PURP III"," ",19,76.68,5.55,89,66,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,7,4,1,0
UBCO,2016,W,EAP ,104, ,001,"ENGL AC PURP IV","",19,69.63,12.77,86,26,18,1,0,0,0,0,0,1,0,0,1,1,0,1,0,6,5,3,1,1,0
UBCO,2016,W,EAP ,104, ,002,"ENGL AC PURP IV","",24,72.96,11.14,90,31,23,1,0,0,0,0,0,0,1,0,1,0,0,0,4,4,4,6,3,1,1
UBCO,2016,W,EAP ,104, ,003,"ENGL AC PURP IV","",13,70.46,5.29,80,59,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,2,1,0,0
UBCO,2016,W,EAP ,104, ,004,"ENGL AC PURP IV","",14,69.46,7.62,80,55,13,0,1,0,0,0,0,0,0,0,0,0,1,2,0,6,1,1,2,0,0
UBCO,2016,W,EAP ,104, ,OVERALL,"ENGL AC PURP IV"," ",70,70.91,10.13,90,26,67,2,1,0,0,0,0,1,1,0,2,1,2,3,4,25,10,12,7,2,1
